Date,Open,High,Low,Close,Adj Close,Volume
2008-11-17,0.880000,0.890000,0.880000,0.890000,0.890000,2000
2008-11-18,0.840000,0.860000,0.840000,0.840000,0.840000,8600
2008-11-19,0.850000,0.850000,0.730000,0.730000,0.730000,8000
2008-11-20,0.710000,0.710000,0.620000,0.620000,0.620000,12300
2008-11-21,0.720000,0.780000,0.660000,0.780000,0.780000,40300
2008-11-24,0.860000,0.880000,0.790000,0.790000,0.790000,14500
2008-11-25,0.860000,0.860000,0.820000,0.820000,0.820000,6500
2008-11-26,0.810000,0.810000,0.810000,0.810000,0.810000,100
2008-11-28,0.810000,0.810000,0.810000,0.810000,0.810000,0
2008-12-01,0.830000,0.830000,0.760000,0.760000,0.760000,20900
2008-12-02,0.820000,0.820000,0.810000,0.820000,0.820000,10000
2008-12-03,0.830000,0.830000,0.830000,0.830000,0.830000,1200
2008-12-04,0.780000,0.780000,0.740000,0.740000,0.740000,14300
2008-12-05,0.730000,0.730000,0.730000,0.730000,0.730000,1000
2008-12-08,0.730000,0.790000,0.730000,0.770000,0.770000,11000
2008-12-09,0.770000,0.770000,0.770000,0.770000,0.770000,0
2008-12-10,0.770000,0.770000,0.760000,0.760000,0.760000,8200
2008-12-11,0.760000,0.780000,0.760000,0.780000,0.780000,13700
2008-12-12,0.760000,0.770000,0.740000,0.770000,0.770000,7100
2008-12-15,0.770000,0.770000,0.770000,0.770000,0.770000,0
2008-12-16,0.770000,0.810000,0.760000,0.800000,0.800000,10300
2008-12-17,0.800000,0.800000,0.800000,0.800000,0.800000,0
2008-12-18,0.800000,0.800000,0.730000,0.730000,0.730000,1000
2008-12-19,0.710000,0.720000,0.710000,0.720000,0.720000,11500
2008-12-22,0.710000,0.780000,0.710000,0.710000,0.710000,12200
2008-12-23,0.720000,0.720000,0.700000,0.710000,0.710000,14500
2008-12-24,0.720000,0.720000,0.700000,0.700000,0.700000,4400
2008-12-26,0.700000,0.700000,0.700000,0.700000,0.700000,0
2008-12-29,0.710000,0.710000,0.690000,0.700000,0.700000,2900
2008-12-30,0.770000,0.770000,0.740000,0.770000,0.770000,9000
2008-12-31,0.750000,0.820000,0.750000,0.820000,0.820000,20700
2009-01-02,0.880000,0.880000,0.880000,0.880000,0.880000,400
2009-01-05,0.920000,0.920000,0.830000,0.850000,0.850000,10000
