DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
11/02/2010,6502566948,MARK TO THE MARKET,,,,,122.64,---,,,,
11/02/2010,6502566947,MARK TO THE MARKET,,,,,-122.64,---,,,,
10/29/2010,6494641419,MONEY MARKET INTEREST (MMDA10),0.64,MMDA10,,,0.00,---,,,,
10/29/2010,6486704084,MONEY MARKET PURCHASE (MMDA10),19.75,MMDA10,,,0.00,---,,,,
10/29/2010,6486704072,MONEY MARKET PURCHASE,,,,,-19.75,---,,,,
10/29/2010,6484467318,QUALIFIED DIVIDEND (LPHI),,LPHI,,,19.75,---,,,,
10/28/2010,6482315458,MONEY MARKET PURCHASE (MMDA10),59.16,MMDA10,,,0.00,---,,,,
10/28/2010,6482315454,MONEY MARKET PURCHASE,,,,,-59.16,---,,,,
10/28/2010,6481408122,ORDINARY DIVIDEND (NLY),,NLY,,,59.16,---,,,,
10/21/2010,6465622338,MONEY MARKET PURCHASE,,,,,-2080.17,---,,,,
10/21/2010,6465622356,MONEY MARKET PURCHASE (MMDA10),2080.17,MMDA10,,,0.00,---,,,,
10/18/2010,6457515090,Sold 85 ELP @ 24.5906,85,ELP,24.5906,9.99,2080.17,---,0.04,,,
10/07/2010,6432872270,MONEY MARKET PURCHASE,,,,,-10.05,---,,,,
10/07/2010,6432872292,MONEY MARKET PURCHASE (MMDA10),10.05,MMDA10,,,0.00,---,,,,
10/07/2010,6431788811,ORDINARY DIVIDEND (AGG),,AGG,,,10.05,---,,,,
10/01/2010,6413289761,MONEY MARKET PURCHASE (MMDA10),17.06,MMDA10,,,0.00,---,,,,
10/01/2010,6413289733,MONEY MARKET PURCHASE,,,,,-17.06,---,,,,
10/01/2010,6410972904,QUALIFIED DIVIDEND (CEG),,CEG,,,3.36,---,,,,
09/30/2010,6408803454,MONEY MARKET INTEREST (MMDA10),0.46,MMDA10,,,0.00,---,,,,
09/30/2010,6401115649,FOREIGN TAX WITHHELD (ELP),,ELP,,,-2.42,---,,,,
09/30/2010,6401115648,QUALIFIED DIVIDEND (ELP),,ELP,,,16.12,---,,,,
09/29/2010,6393984600,MONEY MARKET PURCHASE (MMDA10),1710,MMDA10,,,0.00,---,,,,
09/29/2010,6393984596,MONEY MARKET PURCHASE,,,,,-1710.00,---,,,,
09/28/2010,6391986891,Sold 900 SNEN @ 1.9,900,SNEN,1.90,,1710.00,---,,,,
09/22/2010,6378725082,MONEY MARKET PURCHASE,,,,,-667.99,---,,,,
09/22/2010,6378725084,MONEY MARKET PURCHASE (MMDA10),667.99,MMDA10,,,0.00,---,,,,
09/20/2010,6372642432,MONEY MARKET REDEMPTION,,,,,102.76,---,,,,
09/20/2010,6372642433,MONEY MARKET REDEMPTION (MMDA10),102.76,MMDA10,,,0.00,---,,,,
09/17/2010,6370838898,Sold 20 NTDOY @ 33.9,20,NTDOY,33.90,9.99,667.99,---,0.02,,,
09/17/2010,6368835500,MARK TO THE MARKET,,,,,102.76,---,,,,
09/17/2010,6368835499,MARK TO THE MARKET,,,,,-102.76,---,,,,
09/16/2010,6367567127,MONEY MARKET PURCHASE (MMDA10),773.74,MMDA10,,,0.00,---,,,,
09/16/2010,6367567097,MONEY MARKET PURCHASE,,,,,-773.74,---,,,,
09/15/2010,6363634995,MONEY MARKET PURCHASE,,,,,-1197.52,---,,,,
09/15/2010,6363635003,MONEY MARKET PURCHASE (MMDA10),1197.52,MMDA10,,,0.00,---,,,,
09/15/2010,6362256466,QUALIFIED DIVIDEND (LPHI),,LPHI,,,19.75,---,,,,
09/13/2010,6357702778,Sold 275 AWX @ 2.85,275,AWX,2.85,9.99,773.74,---,0.02,,,
09/10/2010,6354697315,Sold 14 ATK @ 72.1806,14,ATK,72.1806,9.99,1000.52,---,0.02,,,
09/10/2010,6354677015,Sold 80 HERO @ 2.3406,80,HERO,2.3406,9.99,177.25,---,0.01,,,
09/08/2010,6346073808,MONEY MARKET PURCHASE (MMDA10),11.34,MMDA10,,,0.00,---,,,,
09/08/2010,6346073806,MONEY MARKET PURCHASE,,,,,-11.34,---,,,,
09/08/2010,6344729883,ORDINARY DIVIDEND (AGG),,AGG,,,11.34,---,,,,
09/01/2010,6331218521,MONEY MARKET PURCHASE (MMDA10),11.52,MMDA10,,,0.00,---,,,,
09/01/2010,6331218509,MONEY MARKET PURCHASE,,,,,-11.52,---,,,,
09/01/2010,6328512006,QUALIFIED DIVIDEND (PFE),,PFE,,,11.52,---,,,,
08/31/2010,6326305981,MONEY MARKET INTEREST (MMDA10),0.42,MMDA10,,,0.00,---,,,,
08/26/2010,6310381207,MONEY MARKET PURCHASE,,,,,-156.52,---,,,,
08/26/2010,6310381211,MONEY MARKET PURCHASE (MMDA10),156.52,MMDA10,,,0.00,---,,,,
08/25/2010,6306083609,MARK TO THE MARKET,,,,,-156.52,---,,,,
08/25/2010,6306083610,MARK TO THE MARKET,,,,,156.52,---,,,,
08/06/2010,6270890342,MONEY MARKET REDEMPTION,,,,,89.51,---,,,,
08/06/2010,6270890352,MONEY MARKET REDEMPTION (MMDA10),89.51,MMDA10,,,0.00,---,,,,
08/06/2010,6269815165,ORDINARY DIVIDEND (AGG),,AGG,,,11.15,---,,,,
08/05/2010,6266295737,MARK TO THE MARKET,,,,,100.66,---,,,,
08/05/2010,6266295736,MARK TO THE MARKET,,,,,-100.66,---,,,,
08/02/2010,6255564192,MONEY MARKET REDEMPTION,,,,,133.14,---,,,,
08/02/2010,6255564207,MONEY MARKET REDEMPTION (MMDA10),133.14,MMDA10,,,0.00,---,,,,
07/30/2010,6247055491,MONEY MARKET INTEREST (MMDA10),0.42,MMDA10,,,0.00,---,,,,
07/30/2010,6240616174,MARK TO THE MARKET,,,,,133.14,---,,,,
07/30/2010,6240616173,MARK TO THE MARKET,,,,,-133.14,---,,,,
07/29/2010,6239277388,MONEY MARKET PURCHASE (MMDA10),59.16,MMDA10,,,0.00,---,,,,
07/29/2010,6239277383,MONEY MARKET PURCHASE,,,,,-59.16,---,,,,
07/29/2010,6238498148,ORDINARY DIVIDEND (NLY),,NLY,,,59.16,---,,,,
07/16/2010,6211455847,MONEY MARKET PURCHASE (MMDA10),16.82,MMDA10,,,0.00,---,,,,
07/16/2010,6211455845,MONEY MARKET PURCHASE,,,,,-16.82,---,,,,
07/15/2010,6209279743,FOREIGN TAX WITHHELD (NTDOY),,NTDOY,,,-1.27,---,,,,
07/15/2010,6209279742,QUALIFIED DIVIDEND (NTDOY),,NTDOY,,,18.09,---,,,,
07/08/2010,6191615968,MONEY MARKET PURCHASE (MMDA10),11.95,MMDA10,,,0.00,---,,,,
07/08/2010,6191615958,MONEY MARKET PURCHASE,,,,,-11.95,---,,,,
07/08/2010,6190488417,ORDINARY DIVIDEND (AGG),,AGG,,,11.95,---,,,,
07/01/2010,6172802814,MONEY MARKET PURCHASE (MMDA10),3.36,MMDA10,,,0.00,---,,,,
07/01/2010,6172802810,MONEY MARKET PURCHASE,,,,,-3.36,---,,,,
07/01/2010,6170057703,QUALIFIED DIVIDEND (CEG),,CEG,,,3.36,---,,,,
06/30/2010,6166826897,MONEY MARKET INTEREST (MMDA10),0.41,MMDA10,,,0.00,---,,,,
06/15/2010,6120807182,MONEY MARKET PURCHASE (MMDA10),19.75,MMDA10,,,0.00,---,,,,
06/15/2010,6120807172,MONEY MARKET PURCHASE,,,,,-19.75,---,,,,
06/15/2010,6119445460,QUALIFIED DIVIDEND (LPHI),,LPHI,,,19.75,---,,,,
06/09/2010,6105603676,MONEY MARKET PURCHASE,,,,,-8.32,---,,,,
06/09/2010,6105603678,MONEY MARKET PURCHASE (MMDA10),8.32,MMDA10,,,0.00,---,,,,
06/08/2010,6104213544,FOREIGN TAX WITHHELD (ELP),,ELP,,,-1.47,---,,,,
06/08/2010,6104213543,QUALIFIED DIVIDEND (ELP),,ELP,,,9.79,---,,,,
06/08/2010,6102917722,MONEY MARKET PURCHASE (MMDA10),2.55,MMDA10,,,0.00,---,,,,
06/08/2010,6102917720,MONEY MARKET PURCHASE,,,,,-2.55,---,,,,
06/07/2010,6101315875,QUALIFIED DIVIDEND (ELP),,ELP,,,2.55,---,,,,
06/07/2010,6099792356,MONEY MARKET PURCHASE,,,,,-12.30,---,,,,
06/07/2010,6098995266,ORDINARY DIVIDEND (AGG),,AGG,,,12.30,---,,,,
06/07/2010,6099792360,MONEY MARKET PURCHASE (MMDA10),12.3,MMDA10,,,0.00,---,,,,
06/01/2010,6083801613,MONEY MARKET PURCHASE,,,,,-11.52,---,,,,
06/01/2010,6082017193,QUALIFIED DIVIDEND (PFE),,PFE,,,11.52,---,,,,
06/01/2010,6083801697,MONEY MARKET PURCHASE (MMDA10),11.52,MMDA10,,,0.00,---,,,,
05/28/2010,6078441305,MONEY MARKET INTEREST (MMDA10),0.45,MMDA10,,,0.00,---,,,,
05/21/2010,6054716779,MONEY MARKET REDEMPTION (MMDA10),1452.58,MMDA10,,,0.00,---,,,,
05/21/2010,6054716776,MONEY MARKET REDEMPTION,,,,,1452.58,---,,,,
05/20/2010,6053051614,DISBURSEMENT (ACD REQUEST),,,,,-1600.00,---,,,,
05/20/2010,6050721592,MARK TO THE MARKET,,,,,-147.42,---,,,,
05/20/2010,6050721593,MARK TO THE MARKET,,,,,147.42,---,,,,
05/07/2010,6018744070,MONEY MARKET PURCHASE (MMDA10),112.43,MMDA10,,,0.00,---,,,,
05/07/2010,6018744060,MONEY MARKET PURCHASE,,,,,-112.43,---,,,,
05/07/2010,6018280367,ORDINARY DIVIDEND (AGG),,AGG,,,11.84,---,,,,
05/06/2010,6013247529,MARK TO THE MARKET,,,,,-100.59,---,,,,
05/06/2010,6013247530,MARK TO THE MARKET,,,,,100.59,---,,,,
04/30/2010,5992321664,MONEY MARKET INTEREST (MMDA10),0.46,MMDA10,,,0.00,---,,,,
04/29/2010,5983696781,MONEY MARKET PURCHASE (MMDA10),707.07,MMDA10,,,0.00,---,,,,
04/29/2010,5983696777,MONEY MARKET PURCHASE,,,,,-707.07,---,,,,
04/26/2010,5974455908,Sold 6 GS @ 152.7606,6,GS,152.7606,9.99,906.55,---,0.02,,,
04/26/2010,5974453327,Sold 100 USMO @ 13.9801,100,USMO,13.9801,9.99,1387.99,---,0.03,,,
04/26/2010,5974404019,Bought 250 SONE @ 6.3099,250,SONE,6.3099,9.99,-1587.47,---,,,,
04/22/2010,5965784283,MONEY MARKET PURCHASE (MMDA10),20.8,MMDA10,,,0.00,---,,,,
04/22/2010,5965784278,MONEY MARKET PURCHASE,,,,,-20.80,---,,,,
04/21/2010,5963697904,QUALIFIED DIVIDEND (CPC),,CPC,,,20.80,---,,,,
04/14/2010,5944033019,MONEY MARKET REDEMPTION (MMDA10),1509.82,MMDA10,,,0.00,---,,,,
04/14/2010,5944033018,MONEY MARKET REDEMPTION,,,,,1509.82,---,,,,
04/09/2010,5935107526,Bought 87 NLY @ 17.2394,87,NLY,17.2394,9.99,-1509.82,---,,,,
04/08/2010,5930369603,MONEY MARKET PURCHASE,,,,,-12.20,---,,,,
04/08/2010,5930369607,MONEY MARKET PURCHASE (MMDA10),12.2,MMDA10,,,0.00,---,,,,
04/08/2010,5929514738,ORDINARY DIVIDEND (AGG),,AGG,,,12.20,---,,,,
04/05/2010,5920527750,Sold Short 14 IOC @ 69.65,14,IOC,69.65,9.99,965.09,---,0.02,,,
04/01/2010,5909441602,MONEY MARKET PURCHASE (MMDA10),3.36,MMDA10,,,0.00,---,,,,
04/01/2010,5909441512,MONEY MARKET PURCHASE,,,,,-3.36,---,,,,
04/01/2010,5907431142,QUALIFIED DIVIDEND (CEG),,CEG,,,3.36,---,,,,
03/31/2010,5903111873,MONEY MARKET INTEREST (MMDA10),0.47,MMDA10,,,0.00,---,,,,
03/31/2010,5894349733,MONEY MARKET PURCHASE,,,,,-2472.09,---,,,,
03/31/2010,5894349741,MONEY MARKET PURCHASE (MMDA10),2472.09,MMDA10,,,0.00,---,,,,
03/31/2010,5892599526,RETURN OF CAPITAL (USMO),,USMO,,,25.00,---,,,,
03/30/2010,5889621804,MONEY MARKET PURCHASE,,,,,-2.10,---,,,,
03/30/2010,5889621818,MONEY MARKET PURCHASE (MMDA10),2.1,MMDA10,,,0.00,---,,,,
03/30/2010,5888852473,QUALIFIED DIVIDEND (GS),,GS,,,2.10,---,,,,
03/26/2010,5884114064,Sold 93 CSCO @ 26.4206,93,CSCO,26.4206,9.99,2447.09,---,0.04,,,
03/17/2010,5858409302,MONEY MARKET REDEMPTION (MMDA10),288.48,MMDA10,,,0.00,---,,,,
03/17/2010,5858409301,MONEY MARKET REDEMPTION,,,,,288.48,---,,,,
03/15/2010,5851315077,MONEY MARKET REDEMPTION,,,,,42.60,---,,,,
03/15/2010,5849412272,QUALIFIED DIVIDEND (LPHI),,LPHI,,,19.75,---,,,,
03/15/2010,5851315080,MONEY MARKET REDEMPTION (MMDA10),42.6,MMDA10,,,0.00,---,,,,
03/12/2010,5848177246,Sold 35 UFS @ 64.1206,35,UFS,64.1206,9.99,2234.20,---,0.03,,,
03/12/2010,5848167562,Bought 130 CPC @ 7.7599,130,CPC,7.7599,9.99,-1018.78,---,,,,
03/12/2010,5848166203,Bought 900 SNEN @ 1.6599,900,SNEN,1.6599,9.99,-1503.90,---,,,,
03/12/2010,5845197058,MARK TO THE MARKET,,,,,62.35,---,,,,
03/12/2010,5845197057,MARK TO THE MARKET,,,,,-62.35,---,,,,
03/08/2010,5831550803,Bought to Cover 34 HOT @ 41.15,34,HOT,41.15,9.99,-1409.09,---,,,,
03/08/2010,5831043333,MONEY MARKET PURCHASE,,,,,-1894.16,---,,,,
03/08/2010,5831043341,MONEY MARKET PURCHASE (MMDA10),1894.16,MMDA10,,,0.00,---,,,,
03/05/2010,5826109562,MARK TO THE MARKET,,,,,124.44,---,,,,
03/05/2010,5826109561,MARK TO THE MARKET,,,,,-124.44,---,,,,
03/05/2010,5828362622,MONEY MARKET PURCHASE (MMDA10),12.27,MMDA10,,,0.00,---,,,,
03/05/2010,5828362612,MONEY MARKET PURCHASE,,,,,-12.27,---,,,,
03/05/2010,5826921307,ORDINARY DIVIDEND (AGG),,AGG,,,12.27,---,,,,
03/03/2010,5822291666,Sold 30 NKE @ 67.6206,30,NKE,67.6206,9.99,2018.60,---,0.03,,,
03/02/2010,5817630049,MONEY MARKET PURCHASE (MMDA10),11.52,MMDA10,,,0.00,---,,,,
03/02/2010,5817630037,MONEY MARKET PURCHASE,,,,,-11.52,---,,,,
03/02/2010,5816471630,QUALIFIED DIVIDEND (PFE),,PFE,,,11.52,---,,,,
03/01/2010,5812532869,MONEY MARKET PURCHASE,,,,,-2.40,---,,,,
03/01/2010,5809730987,QUALIFIED DIVIDEND (RAIL),,RAIL,,,2.40,---,,,,
03/01/2010,5812532971,MONEY MARKET PURCHASE (MMDA10),2.4,MMDA10,,,0.00,---,,,,
02/26/2010,5803941691,MONEY MARKET INTEREST (MMDA10),0.4,MMDA10,,,0.00,---,,,,
02/26/2010,5799896897,MONEY MARKET PURCHASE,,,,,-2945.19,---,,,,
02/26/2010,5799896909,MONEY MARKET PURCHASE (MMDA10),2945.19,MMDA10,,,0.00,---,,,,
02/23/2010,5792861098,Sold 40 RAIL @ 20.83,40,RAIL,20.83,9.99,823.19,---,0.02,,,
02/23/2010,5792859310,Sold 26 CL @ 82.0006,26,CL,82.0006,9.99,2122.00,---,0.03,,,
02/16/2010,5775888614,MONEY MARKET PURCHASE,,,,,-11.44,---,,,,
02/16/2010,5774968644,QUALIFIED DIVIDEND (CL),,CL,,,11.44,---,,,,
02/16/2010,5775888620,MONEY MARKET PURCHASE (MMDA10),11.44,MMDA10,,,0.00,---,,,,
02/05/2010,5732936753,MONEY MARKET PURCHASE (MMDA10),12.43,MMDA10,,,0.00,---,,,,
02/05/2010,5732936749,MONEY MARKET PURCHASE,,,,,-12.43,---,,,,
02/05/2010,5732171053,ORDINARY DIVIDEND (AGG),,AGG,,,12.43,---,,,,
01/29/2010,5701891821,MONEY MARKET INTEREST (MMDA10),0.41,MMDA10,,,0.00,---,,,,
