DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
10/23/2014,12291718040,MONEY MARKET REDEMPTION (MMDA1),4511.32,MMDA1,,,0.00,---,,,,
10/23/2014,12291718025,MONEY MARKET REDEMPTION,,,,,4511.32,---,,,,
10/21/2014,12281362556,MONEY MARKET PURCHASE,,,,,-2836.43,---,,,,
10/21/2014,12281362573,MONEY MARKET PURCHASE (MMDA1),2836.43,MMDA1,,,0.00,---,,,,
10/20/2014,12278931779,Bought 92 CTO @ 48.96,92,CTO,48.96,7.00,-4511.32,---,,,,
10/16/2014,12267513734,Sold 6500 GLGI @ 0.379,6500,GLGI,0.379,0.00,2463.44,---,0.06,,,
10/16/2014,12267513732,Sold 1000 GLGI @ 0.38,1000,GLGI,0.38,7.00,372.99,---,0.01,,,
10/14/2014,12249349438,MONEY MARKET REDEMPTION (MMDA1),3209.5,MMDA1,,,0.00,---,,,,
10/14/2014,12249349409,MONEY MARKET REDEMPTION,,,,,3209.50,---,,,,
10/08/2014,12230819495,Bought 7500 GLGI @ 0.427,7500,GLGI,0.427,7.00,-3209.50,---,,,,
09/30/2014,12181457929,MONEY MARKET INTEREST (MMDA1),0.13,MMDA1,,,0.00,---,,,,
09/05/2014,12072239807,MONEY MARKET PURCHASE (MMDA1),82.9,MMDA1,,,0.00,---,,,,
09/05/2014,12072239777,MONEY MARKET PURCHASE,,,,,-82.90,---,,,,
09/04/2014,12069681415,FOREIGN TAX WITHHELD (AMZKF),,AMZKF,,,-27.63,---,,,,
09/04/2014,12069681414,QUALIFIED DIVIDEND (AMZKF),,AMZKF,,,110.53,---,,,,
08/29/2014,12041461696,MONEY MARKET INTEREST (MMDA1),0.12,MMDA1,,,0.00,---,,,,
08/14/2014,11984890770,MONEY MARKET PURCHASE (MMDA1),4322.5,MMDA1,,,0.00,---,,,,
08/14/2014,11984890721,MONEY MARKET PURCHASE,,,,,-4322.50,---,,,,
08/11/2014,11973473995,Sold 2460 NROM @ 1.76,2460,NROM,1.76,7.00,4322.50,---,0.10,,,
07/31/2014,11928791184,MONEY MARKET INTEREST (MMDA1),0.1,MMDA1,,,0.00,---,,,,
06/30/2014,11794087960,MONEY MARKET INTEREST (MMDA1),0.09,MMDA1,,,0.00,---,,,,
06/18/2014,11739268756,MONEY MARKET PURCHASE (MMDA1),633.75,MMDA1,,,0.00,---,,,,
06/18/2014,11739268696,MONEY MARKET PURCHASE,,,,,-633.75,---,,,,
06/17/2014,11736307758,Sold 975 @ 0.65,975,,0.65,,633.75,---,,,,
06/06/2014,11691642206,MONEY MARKET PURCHASE (MMDA1),82.19,MMDA1,,,0.00,---,,,,
06/06/2014,11691642182,MONEY MARKET PURCHASE,,,,,-82.19,---,,,,
06/05/2014,11688005891,FOREIGN TAX WITHHELD (AMZKF),,AMZKF,,,-27.39,---,,,,
06/05/2014,11688005890,QUALIFIED DIVIDEND (AMZKF),,AMZKF,,,109.58,---,,,,
05/30/2014,11655155719,MONEY MARKET INTEREST (MMDA1),0.07,MMDA1,,,0.00,---,,,,
05/21/2014,11625585762,MANDATORY - EXCHANGE (847CSH103),975,,,,0.00,---,,,,
05/21/2014,11625585760,MANDATORY - EXCHANGE (84763M102),975,,,,0.00,---,,,,
05/19/2014,11614873487,MONEY MARKET PURCHASE,,,,,-4521.96,---,,,,
05/19/2014,11614873537,MONEY MARKET PURCHASE (MMDA1),4521.96,MMDA1,,,0.00,---,,,,
05/14/2014,11600631305,Sold 550 STRP @ 8.2401,550,STRP,8.2401,9.99,4521.96,---,0.11,,,
04/30/2014,11541775160,MONEY MARKET INTEREST (MMDA1),0.05,MMDA1,,,0.00,---,,,,
04/23/2014,11508214430,MONEY MARKET PURCHASE (MMDA1),2254.03,MMDA1,,,0.00,---,,,,
04/23/2014,11508214428,MONEY MARKET PURCHASE,,,,,-2254.03,---,,,,
04/17/2014,11495242204,Sold 2500 PRXI @ 0.81,2500,PRXI,0.81,9.99,2014.99,---,0.05,,,
04/17/2014,11495405105,Sold 100 PRXI @ 0.8301,100,PRXI,0.8301,0.00,83.00,---,0.01,,,
04/17/2014,11495405102,Sold 200 PRXI @ 0.8302,200,PRXI,0.8302,9.99,156.04,---,0.01,,,
04/10/2014,11463691839,MONEY MARKET REDEMPTION (MMDA1),2529.71,MMDA1,,,0.00,---,,,,
04/10/2014,11463691827,MONEY MARKET REDEMPTION,,,,,2529.71,---,,,,
04/07/2014,11446174798,Bought 2800 PRXI @ 0.8999,2800,PRXI,0.8999,9.99,-2529.71,---,,,,
03/31/2014,11402294138,MONEY MARKET INTEREST (MMDA1),0.06,MMDA1,,,0.00,---,,,,
03/24/2014,11337884161,MONEY MARKET PURCHASE,,,,,-9.94,---,,,,
03/24/2014,11337884185,MONEY MARKET PURCHASE (MMDA1),9.94,MMDA1,,,0.00,---,,,,
03/21/2014,11334538808,CASH IN LIEU OF FRACTIONAL SHARES (AMRK),,AMRK,,,9.94,---,,,,
03/20/2014,11330628739,NON-TAXABLE SPIN OFF/LIQUIDATION DISTRIBUTION (AMRK),243,AMRK,,,0.00,---,,,,
03/06/2014,11269639160,MONEY MARKET PURCHASE (MMDA1),1794.47,MMDA1,,,0.00,---,,,,
03/06/2014,11269639142,MONEY MARKET PURCHASE,,,,,-1794.47,---,,,,
03/05/2014,11264674098,MONEY MARKET REDEMPTION (MMDA1),2895.99,MMDA1,,,0.00,---,,,,
03/05/2014,11264674077,MONEY MARKET REDEMPTION,,,,,2895.99,---,,,,
03/03/2014,11252656127,Sold 225 CWGL @ 8.02,225,CWGL,8.02,9.99,1794.47,---,0.04,,,
02/28/2014,11237293541,MONEY MARKET INTEREST (MMDA1),0.07,MMDA1,,,0.00,---,,,,
02/28/2014,11235023642,Bought 975 SPGZ @ 2.96,975,SPGZ,2.96,9.99,-2895.99,---,,,,
02/28/2014,11232211131,MONEY MARKET REDEMPTION (MMDA1),1070.81,MMDA1,,,0.00,---,,,,
02/28/2014,11232211114,MONEY MARKET REDEMPTION,,,,,1070.81,---,,,,
02/25/2014,11219587192,Bought 2000 AMZKF @ 2.193,2000,AMZKF,2.193,9.99,-4395.99,---,,,,
02/25/2014,11219584337,Sold 1150 INFU @ 2.9002,1150,INFU,2.9002,9.99,3325.18,---,0.06,,,
01/31/2014,11123626290,MONEY MARKET INTEREST (MMDA1),0.08,MMDA1,,,0.00,---,,,,
12/31/2013,10986026471,MONEY MARKET INTEREST (MMDA1),0.07,MMDA1,,,0.00,---,,,,
12/13/2013,10886837627,MONEY MARKET PURCHASE (MMDA1),912.94,MMDA1,,,0.00,---,,,,
12/13/2013,10886837606,MONEY MARKET PURCHASE,,,,,-912.94,---,,,,
12/10/2013,10870665774,Sold 45 SHFK @ 20.51,45,SHFK,20.51,9.99,912.94,---,0.02,,,
12/10/2013,10868192244,MONEY MARKET REDEMPTION (MMDA1),2500,MMDA1,,,0.00,---,,,,
12/10/2013,10868192219,MONEY MARKET REDEMPTION,,,,,2500.00,---,,,,
12/09/2013,10863261774,CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),,,,,-2500.00,---,,,,
12/03/2013,10841068590,MONEY MARKET PURCHASE (MMDA1),8793.77,MMDA1,,,0.00,---,,,,
12/03/2013,10841068569,MONEY MARKET PURCHASE,,,,,-8793.77,---,,,,
11/29/2013,10820390801,MONEY MARKET INTEREST (MMDA1),0.03,MMDA1,,,0.00,---,,,,
11/27/2013,10812083324,Sold 1470 NROM @ 1.62,1470,NROM,1.62,9.99,2371.36,---,0.05,,,
11/27/2013,10812348157,Sold 2450 AXANF @ 2.3375,2450,AXANF,2.3375,0.00,5726.78,---,0.10,,,
11/27/2013,10812348154,Sold 100 AXANF @ 2.3382,100,AXANF,2.3382,0.00,233.81,---,0.01,,,
11/27/2013,10812348149,Sold 200 AXANF @ 2.3591,200,AXANF,2.3591,9.99,461.82,---,0.01,,,
11/06/2013,10736631300,MONEY MARKET REDEMPTION (MMDA1),8500,MMDA1,,,0.00,---,,,,
11/06/2013,10736630457,MONEY MARKET REDEMPTION,,,,,8500.00,---,,,,
11/05/2013,10734486017,CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),,,,,-8500.00,---,,,,
10/31/2013,10709579565,MONEY MARKET INTEREST (MMDA10),0.07,MMDA10,,,0.00,---,,,,
10/30/2013,10691302359,MONEY MARKET PURCHASE,,,,,-3029.95,---,,,,
10/30/2013,10691302387,MONEY MARKET PURCHASE (MMDA10),3029.95,MMDA10,,,0.00,---,,,,
***END OF FILE***
