DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
10/30/2013,10691302359,MONEY MARKET PURCHASE,,,,,-3029.95,---,,,,
10/30/2013,10691302387,MONEY MARKET PURCHASE (MMDA10),3029.95,MMDA10,,,0.00,---,,,,
10/25/2013,10678092789,Sold 2000 NROM @ 1.52,2000,NROM,1.52,9.99,3029.95,---,0.06,,,
10/10/2013,10620266216,MONEY MARKET REDEMPTION (MMDA10),2240.7,MMDA10,,,0.00,---,,,,
10/10/2013,10620266203,MONEY MARKET REDEMPTION,,,,,2240.70,---,,,,
10/09/2013,10615494379,MONEY MARKET REDEMPTION,,,,,107.80,---,,,,
10/09/2013,10615494382,MONEY MARKET REDEMPTION (MMDA10),107.8,MMDA10,,,0.00,---,,,,
10/08/2013,10610586026,MONEY MARKET REDEMPTION,,,,,1038.49,---,,,,
10/08/2013,10610586065,MONEY MARKET REDEMPTION (MMDA10),1038.49,MMDA10,,,0.00,---,,,,
10/07/2013,10608359941,Bought 550 STRP @ 6.14,550,STRP,6.14,9.99,-3386.99,---,,,,
09/30/2013,10571300170,MONEY MARKET INTEREST (MMDA10),0.07,MMDA10,,,0.00,---,,,,
09/13/2013,10492613299,MONEY MARKET PURCHASE (MMDA10),3239.63,MMDA10,,,0.00,---,,,,
09/13/2013,10492613285,MONEY MARKET PURCHASE,,,,,-3239.63,---,,,,
09/10/2013,10478155447,Sold 98 WBMD @ 33.16,98,WBMD,33.16,9.99,3239.63,---,0.06,,,
09/09/2013,10469830076,MONEY MARKET PURCHASE,,,,,-620.62,---,,,,
09/09/2013,10469830104,MONEY MARKET PURCHASE (MMDA10),620.62,MMDA10,,,0.00,---,,,,
09/04/2013,10458384410,Sold 441 STTYF @ 1.43,441,STTYF,1.43,9.99,620.62,---,0.02,,,
