DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
10/30/2015,13989829892,MONEY MARKET INTEREST (MMDA1),0.08,MMDA1,,,0.00,---,,,,
10/09/2015,13906535990,MONEY MARKET REDEMPTION,,,,,1900.90,---,,,,
10/09/2015,13906536012,MONEY MARKET REDEMPTION (MMDA1),1900.9,MMDA1,,,0.00,---,,,,
10/06/2015,13890300604,Bought 100 USAK @ 18.939,100,USAK,18.939,7.00,-1900.90,---,,,,
09/30/2015,13851456565,MONEY MARKET INTEREST (MMDA1),0.1,MMDA1,,,0.00,---,,,,
09/29/2015,13834843611,MONEY MARKET REDEMPTION,,,,,2687.00,---,,,,
09/29/2015,13834843624,MONEY MARKET REDEMPTION (MMDA1),2687,MMDA1,,,0.00,---,,,,
09/24/2015,13813781862,Bought 8000 PKTEF @ 0.335,8000,PKTEF,0.335,7.00,-2687.00,---,,,,
09/11/2015,13766064166,MONEY MARKET PURCHASE,,,,,-4178.67,---,,,,
09/11/2015,13766064253,MONEY MARKET PURCHASE (MMDA1),4178.67,MMDA1,,,0.00,---,,,,
09/08/2015,13748051918,Sold 1500 NAUH @ 2.7905,1500,NAUH,2.7905,7.00,4178.67,---,0.08,,,
09/01/2015,13717186606,MONEY MARKET PURCHASE (MMDA1),468,MMDA1,,,0.00,---,,,,
09/01/2015,13717186538,MONEY MARKET PURCHASE,,,,,-468.00,---,,,,
09/01/2015,13714432311,QUALIFIED DIVIDEND (SHFK),,SHFK,,,468.00,---,,,,
08/31/2015,13709167638,MONEY MARKET INTEREST (MMDA1),0.08,MMDA1,,,0.00,---,,,,
07/31/2015,13574754999,MONEY MARKET INTEREST (MMDA1),0.08,MMDA1,,,0.00,---,,,,
07/10/2015,13485877952,MONEY MARKET PURCHASE,,,,,-67.50,---,,,,
07/10/2015,13485877971,MONEY MARKET PURCHASE (MMDA1),67.5,MMDA1,,,0.00,---,,,,
07/10/2015,13484004856,QUALIFIED DIVIDEND (NAUH),,NAUH,,,67.50,---,,,,
06/30/2015,13429887126,MONEY MARKET INTEREST (MMDA1),0.08,MMDA1,,,0.00,---,,,,
06/01/2015,13295370644,MONEY MARKET PURCHASE,,,,,-3367.93,---,,,,
06/01/2015,13295370718,MONEY MARKET PURCHASE (MMDA1),3367.93,MMDA1,,,0.00,---,,,,
05/29/2015,13283526399,MONEY MARKET INTEREST (MMDA1),0.06,MMDA1,,,0.00,---,,,,
05/27/2015,13272057283,Sold 750 PRSS @ 4.5,750,PRSS,4.50,7.00,3367.93,---,0.07,,,
05/27/2015,13270827880,MONEY MARKET PURCHASE,,,,,-3.68,---,,,,
05/27/2015,13270827891,MONEY MARKET PURCHASE (MMDA1),3.68,MMDA1,,,0.00,---,,,,
05/27/2015,13269553189,QUALIFIED DIVIDEND (CTO),,CTO,,,3.68,---,,,,
05/07/2015,13204171974,MONEY MARKET REDEMPTION,,,,,2988.00,---,,,,
