DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
10/27/2011,7689820437,MONEY MARKET REDEMPTION,,,,,1246.77,---,,,,
10/27/2011,7689820438,MONEY MARKET REDEMPTION (MMDA10),1246.77,MMDA10,,,0.00,---,,,,
10/27/2011,7689362825,ORDINARY DIVIDEND (NLY),,NLY,,,52.20,---,,,,
10/26/2011,7687723334,VOLUNTARY - TENDER OFFER (46626D918),118,,,,0.00,---,,,,
10/26/2011,7687723332,VOLUNTARY - TENDER OFFER (NILSY),118,NILSY,,,0.00,---,,,,
10/26/2011,7685537038,MONEY MARKET REDEMPTION,,,,,834.11,---,,,,
10/26/2011,7685537096,MONEY MARKET REDEMPTION (MMDA10),834.11,MMDA10,,,0.00,---,,,,
10/25/2011,7680657491,MONEY MARKET PURCHASE,,,,,-14.08,---,,,,
10/25/2011,7680657497,MONEY MARKET PURCHASE (MMDA10),14.08,MMDA10,,,0.00,---,,,,
10/25/2011,7678730779,QUALIFIED DIVIDEND (BBY),,BBY,,,14.08,---,,,,
10/24/2011,7676443747,Bought 21 COH @ 61.38,21,COH,61.38,9.99,-1298.97,---,,,,
10/21/2011,7672929495,Sold 51 SYNA @ 32.4406,51,SYNA,32.4406,9.99,1644.44,---,0.04,,,
10/21/2011,7672487843,Bought 118 NILSY @ 20.92,118,NILSY,20.92,9.99,-2478.55,---,,,,
10/21/2011,7671675569,MONEY MARKET PURCHASE (MMDA10),6000,MMDA10,,,0.00,---,,,,
10/21/2011,7671675563,MONEY MARKET PURCHASE,,,,,-6000.00,---,,,,
10/20/2011,7670245002,CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),,,,,6000.00,---,,,,
10/20/2011,7668191292,MONEY MARKET REDEMPTION,,,,,1605.52,---,,,,
10/20/2011,7668191298,MONEY MARKET REDEMPTION (MMDA10),1605.52,MMDA10,,,0.00,---,,,,
10/17/2011,7658573733,Bought 55 LYB @ 29.0097,55,LYB,29.0097,9.99,-1605.52,---,,,,
10/13/2011,7649138736,MONEY MARKET REDEMPTION,,,,,1044.99,---,,,,
10/13/2011,7649138739,MONEY MARKET REDEMPTION (MMDA10),1044.99,MMDA10,,,0.00,---,,,,
10/10/2011,7637751058,Bought 1500 BETM @ 0.69,1500,BETM,0.69,9.99,-1044.99,---,,,,
10/07/2011,7632887371,MONEY MARKET PURCHASE (MMDA10),8.34,MMDA10,,,0.00,---,,,,
10/07/2011,7632887369,MONEY MARKET PURCHASE,,,,,-8.34,---,,,,
10/07/2011,7631072597,ORDINARY DIVIDEND (AGG),,AGG,,,8.34,---,,,,
09/30/2011,7604670466,MONEY MARKET INTEREST (MMDA10),0.1,MMDA10,,,0.00,---,,,,
09/12/2011,7535792570,MONEY MARKET PURCHASE,,,,,-13.92,---,,,,
09/12/2011,7535792582,MONEY MARKET PURCHASE (MMDA10),13.92,MMDA10,,,0.00,---,,,,
09/09/2011,7533231196,QUALIFIED DIVIDEND (RIO),,RIO,,,13.92,---,,,,
09/09/2011,7530900100,MONEY MARKET PURCHASE,,,,,-5.34,---,,,,
09/09/2011,7530900118,MONEY MARKET PURCHASE (MMDA10),5.34,MMDA10,,,0.00,---,,,,
09/08/2011,7528404350,FOREIGN TAX WITHHELD (PBR),,PBR,,,-0.94,---,,,,
09/08/2011,7528404349,QUALIFIED DIVIDEND (PBR),,PBR,,,6.28,---,,,,
09/08/2011,7526905150,MONEY MARKET PURCHASE (MMDA10),8.82,MMDA10,,,0.00,---,,,,
09/08/2011,7526905138,MONEY MARKET PURCHASE,,,,,-8.82,---,,,,
09/08/2011,7524539848,ORDINARY DIVIDEND (AGG),,AGG,,,8.82,---,,,,
09/06/2011,7518709624,MONEY MARKET PURCHASE,,,,,-6.00,---,,,,
