DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
10/29/2012,9218858494,MONEY MARKET PURCHASE,,,,,-43.50,---,,,,
10/29/2012,9218368055,ORDINARY DIVIDEND (NLY),,NLY,,,43.50,---,,,,
10/29/2012,9218858498,MONEY MARKET PURCHASE (MMDA10),43.5,MMDA10,,,0.00,---,,,,
10/19/2012,9193337952,MONEY MARKET REDEMPTION (MMDA10),2884.99,MMDA10,,,0.00,---,,,,
10/19/2012,9193337943,MONEY MARKET REDEMPTION,,,,,2884.99,---,,,,
10/16/2012,9184414716,Bought 125 DV @ 23,125,DV,23.00,9.99,-2884.99,---,,,,
10/15/2012,9177898667,MONEY MARKET REDEMPTION,,,,,5610.00,---,,,,
10/15/2012,9177898678,MONEY MARKET REDEMPTION (MMDA10),5610,MMDA10,,,0.00,---,,,,
10/12/2012,9174902352,CLIENT REQUESTED ELECTRONIC FUNDING DISBURSEMENT (FUNDS NOW),,,,,-5610.00,---,,,,
10/05/2012,9153909549,MONEY MARKET PURCHASE,,,,,-7.86,---,,,,
10/05/2012,9153909554,MONEY MARKET PURCHASE (MMDA10),7.86,MMDA10,,,0.00,---,,,,
10/05/2012,9152884535,ORDINARY DIVIDEND (AGG),,AGG,,,7.86,---,,,,
09/28/2012,9121344735,MONEY MARKET INTEREST (MMDA10),0.08,MMDA10,,,0.00,---,,,,
09/28/2012,9113436529,MONEY MARKET REDEMPTION (MMDA10),3969.99,MMDA10,,,0.00,---,,,,
09/28/2012,9113436456,MONEY MARKET REDEMPTION,,,,,3969.99,---,,,,
09/25/2012,9100674290,Bought 12 CMG @ 330,12,CMG,330.00,9.99,-3969.99,---,,,,
09/19/2012,9081818105,MONEY MARKET PURCHASE,,,,,-7.68,---,,,,
09/19/2012,9081818111,MONEY MARKET PURCHASE (MMDA10),7.68,MMDA10,,,0.00,---,,,,
09/19/2012,9081641522,QUALIFIED DIVIDEND (RGS),,RGS,,,7.68,---,,,,
09/18/2012,9077620008,MONEY MARKET PURCHASE,,,,,-6414.44,---,,,,
09/18/2012,9077620012,MONEY MARKET PURCHASE (MMDA10),6414.44,MMDA10,,,0.00,---,,,,
09/14/2012,9067356769,MONEY MARKET REDEMPTION,,,,,2194.48,---,,,,
09/14/2012,9067356783,MONEY MARKET REDEMPTION (MMDA10),2194.48,MMDA10,,,0.00,---,,,,
09/13/2012,9063923784,Sold 800 GRVY @ 1.3108,800,GRVY,1.3108,9.99,1038.62,---,0.03,,,
09/13/2012,9063927646,Sold 1086 OMEX @ 3.6408,1086,OMEX,3.6408,9.99,3943.83,---,0.09,,,
09/13/2012,9063924473,Sold 530 XIN @ 2.7208,530,XIN,2.7208,9.99,1431.99,---,0.04,,,
09/11/2012,9054351386,Bought 85 LVB @ 25.6999,85,LVB,25.6999,9.99,-2194.48,---,,,,
09/10/2012,9047808639,MONEY MARKET PURCHASE,,,,,-8.30,---,,,,
